Day,Compound Sentiment
Date,0
2022-09-29,-0.4007
2022-09-28,0.7845
2022-09-27,0.0
2022-09-26,0.0
2022-09-25,-0.7096
2022-09-24,0
2022-09-23,0
2022-09-22,0
2022-09-21,0
2022-09-20,0
2022-09-19,0
2022-09-18,0.296
2022-09-17,0
2022-09-16,0.8718
2022-09-15,0.0
2022-09-14,0.0
2022-09-13,0.0
2022-09-12,-0.39915
2022-09-11,0.6808
2022-09-10,-0.4588
2022-09-09,0
2022-09-08,0.5183
2022-09-07,0
2022-09-06,0
2022-09-05,0
2022-09-04,0
2022-09-03,0
2022-09-02,0
2022-09-01,0.0
2022-08-31,-0.0688
2022-08-30,0
2022-08-29,-0.296
2022-08-28,0.4019
2022-08-27,0
2022-08-26,0
2022-08-25,0
2022-08-24,0
2022-08-23,0
2022-08-22,0
2022-08-21,0
2022-08-20,0
2022-08-19,0.0
2022-08-18,0.2924
2022-08-17,0.5522
2022-08-16,0.0
2022-08-15,0.0623
2022-08-14,0
2022-08-13,-0.5972
2022-08-12,0.35262499999999997
2022-08-11,-0.08901428571428574
2022-08-10,0.1259047619047619
2022-08-09,0.7906
2022-08-08,0
2022-08-07,0.35445714285714286
2022-08-06,0
2022-08-05,-0.1531
2022-08-04,0
2022-08-03,0
2022-08-02,0.0
2022-08-01,0.39525
2022-07-31,0.3182
2022-07-30,0.6249
2022-07-29,0
2022-07-28,0.8316
2022-07-27,0
2022-07-26,0
2022-07-25,0.0
2022-07-24,-0.2732
2022-07-23,0.0
2022-07-22,0
2022-07-21,0
2022-07-20,0.4084
2022-07-19,-0.38780000000000003
2022-07-18,0.032200000000000006
2022-07-17,0.21014999999999998
2022-07-16,0
2022-07-15,-0.07655
2022-07-14,-0.1943
2022-07-13,0.0
2022-07-12,0
2022-07-11,-0.5994
2022-07-10,0.6369
2022-07-09,0
2022-07-08,0.4215
2022-07-07,0.6166
2022-07-06,0
2022-07-05,0.0
2022-07-04,0
2022-07-03,0
2022-07-02,0.0
2022-07-01,0
2022-06-30,-0.38565
2022-06-29,0.12726666666666667
2022-06-28,0.2362
2022-06-27,0.296
2022-06-26,0.0
2022-06-25,0.0
