Day,Compound Sentiment
Date,0
2022-09-29,-0.0516
2022-09-28,0
2022-09-27,0
2022-09-26,0
2022-09-25,-0.7096
2022-09-24,0
2022-09-23,0
2022-09-22,0.18793333333333337
2022-09-21,0.15930000000000002
2022-09-20,0.6704
2022-09-19,0.6037
2022-09-18,-0.6037
2022-09-17,0
2022-09-16,-0.516
2022-09-15,0.0
2022-09-14,0.043025000000000035
2022-09-13,0
2022-09-12,0
2022-09-11,0
2022-09-10,0
2022-09-09,0
2022-09-08,0.1531
2022-09-07,0.6124
2022-09-06,0
2022-09-05,0
2022-09-04,0
2022-09-03,0
2022-09-02,0.4588
2022-09-01,0
2022-08-31,0
2022-08-30,0
2022-08-29,0
2022-08-28,0
2022-08-27,0
2022-08-26,-0.3182
2022-08-25,-0.07170000000000003
2022-08-24,0.4019
2022-08-23,0.4588
2022-08-22,0
2022-08-21,0
2022-08-20,0
2022-08-19,0.7783
2022-08-18,0
2022-08-17,0.34
2022-08-16,0.5719
2022-08-15,0
2022-08-14,0
2022-08-13,0
2022-08-12,0
2022-08-11,0.148
2022-08-10,0
2022-08-09,0.7184
2022-08-08,0
2022-08-07,0.0
2022-08-06,0
2022-08-05,0.0
2022-08-04,0
2022-08-03,0.0
2022-08-02,0.7003
2022-08-01,-0.969
2022-07-31,0.1779
2022-07-30,0
2022-07-29,0
2022-07-28,0.20725000000000002
2022-07-27,0.6908
2022-07-26,0.0
2022-07-25,0
2022-07-24,0
2022-07-23,0
2022-07-22,0.6808
2022-07-21,0.1779
2022-07-20,-0.6124
2022-07-19,0.908
2022-07-18,0.0
2022-07-17,0
2022-07-16,0
2022-07-15,0.6478
2022-07-14,0
2022-07-13,0
2022-07-12,0
2022-07-11,0.2023
2022-07-10,0
2022-07-09,-0.6908
2022-07-08,0.0
2022-07-07,0.09755000000000003
2022-07-06,0
2022-07-05,0
2022-07-04,-0.2997
2022-07-03,0
2022-07-02,0.7845
2022-07-01,-0.6249
2022-06-30,0
2022-06-29,0
2022-06-28,0
2022-06-27,0
2022-06-26,0.0
2022-06-25,0.34
2022-06-24,0
2022-06-23,0.41355
2022-06-22,0
2022-06-21,-0.00425
2022-06-20,0
2022-06-19,0
2022-06-18,-0.5984
2022-06-17,0.7116
2022-06-16,0.6369
2022-06-15,0.0
2022-06-14,0
2022-06-13,0.3525666666666667
2022-06-12,-0.2997
2022-06-11,0.3182
2022-06-10,-0.10846666666666664
2022-06-09,0.09208333333333334
2022-06-08,0.29300833333333337
2022-06-07,0.20186
2022-06-06,0.08413333333333332
2022-06-05,0.25534999999999997
2022-06-04,0.1779
2022-06-03,0.246525
2022-06-02,0.3189222222222223
2022-06-01,0.2233416666666667
2022-05-31,0.1115142857142857
2022-05-30,0.022266666666666674
2022-05-29,0.1779
2022-05-28,0.7391
2022-05-27,0.524725
2022-05-26,0.002340000000000031
2022-05-25,0.12919
2022-05-24,0.16350952380952385
2022-05-23,-0.033633333333333355
2022-05-22,0.47870000000000007
2022-05-21,-0.012199999999999978
2022-05-20,0.6410666666666667
2022-05-19,-0.022366666666666663
2022-05-18,-0.03918999999999999
2022-05-17,0.30016
2022-05-16,0.21962500000000001
2022-05-15,0.04725
2022-05-14,0.30917999999999995
2022-05-13,0.024650000000000005
2022-05-12,0.1107
2022-05-11,0.12035999999999998
2022-05-10,0.42864285714285716
2022-05-09,-0.21284285714285714
2022-05-08,-0.004100000000000004
2022-05-07,0.1307
2022-05-06,0.2682333333333333
2022-05-05,0.2048625
2022-05-04,0.2409
2022-05-03,0.35828
2022-05-02,0.2768555555555555
2022-05-01,0.3053625
2022-04-30,0.3002666666666667
