Day,Compound Sentiment
Date,0
2022-09-29,-0.38906666666666667
2022-09-28,0.060624999999999984
2022-09-27,0
2022-09-26,0.18076666666666666
2022-09-25,-0.01360000000000002
2022-09-24,0.0
2022-09-23,0.9022
2022-09-22,0.29295
2022-09-21,0.4348
2022-09-20,0.22346666666666667
2022-09-19,0.14923999999999998
2022-09-18,0.38992499999999997
2022-09-17,-0.027933333333333327
2022-09-16,0.5471428571428572
2022-09-15,0.3468
2022-09-14,0
2022-09-13,0
2022-09-12,0.8844
2022-09-11,0.7712
2022-09-10,0.6187
2022-09-09,0
2022-09-08,-0.14986666666666665
2022-09-07,0.36485
2022-09-06,0
2022-09-05,0.0
2022-09-04,0
2022-09-03,0.0
2022-09-02,0.4588
2022-09-01,-0.17556666666666665
2022-08-31,0.0
2022-08-30,0
2022-08-29,0.07939999999999998
2022-08-28,0.128
2022-08-27,0.0516
2022-08-26,0.5106
2022-08-25,-0.7184
2022-08-24,0.25
2022-08-23,0.34696666666666665
2022-08-22,-0.824
2022-08-21,-0.7992
2022-08-20,0.34
2022-08-19,-0.17666666666666667
2022-08-18,0.1678
2022-08-17,0.0
2022-08-16,0.27086666666666664
2022-08-15,0.0
2022-08-14,-0.23420000000000002
2022-08-13,-0.13976666666666665
2022-08-12,0.2899
2022-08-11,-0.1892
2022-08-10,0.06686249999999999
2022-08-09,0.28076666666666666
2022-08-08,0.42935
2022-08-07,-0.296
2022-08-06,0.0
2022-08-05,0.42645
2022-08-04,0.4544333333333334
2022-08-03,-0.5319
2022-08-02,-0.28595
2022-08-01,0.0
2022-07-31,-0.6249
2022-07-30,0
2022-07-29,-0.481
2022-07-28,0.5106
2022-07-27,0
2022-07-26,0.01886666666666666
2022-07-25,0.4759
2022-07-24,-0.5423
2022-07-23,0
2022-07-22,0.47542500000000004
2022-07-21,-0.22712499999999997
2022-07-20,0.08470666666666668
2022-07-19,0.0166103448275862
2022-07-18,0.08253333333333335
2022-07-17,0.27212105263157893
2022-07-16,0.17263636363636364
2022-07-15,0.25608
2022-07-14,-0.14927499999999996
2022-07-13,0.34731428571428574
2022-07-12,0.6062
2022-07-11,0.27573333333333333
2022-07-10,-0.6597
2022-07-09,0
2022-07-08,0
2022-07-07,0.12835000000000002
2022-07-06,0.016075000000000006
2022-07-05,0.0
2022-07-04,0.184
2022-07-03,-0.9042
2022-07-02,0
